age,sex,education,birth_in_canada,province,income_family,cell
50-59,Male,Highschool,Yes,Quebec,level 1,Quebec 50-59 Highschool level 1
40-49,Female,College/Associate Degree,Yes,Ontario,level 2,Ontario 40-49 College/Associate Degree level 2
40-49,Male,Highschool,Yes,Ontario,level 1,Ontario 40-49 Highschool level 1
18-29,Female,Highschool,Yes,British Columbia,level 1,British Columbia 18-29 Highschool level 1
18-29,Female,Highschool,Yes,New Brunswick,level 1,New Brunswick 18-29 Highschool level 1
40-49,Male,College/Associate Degree,Yes,Quebec,level 3,Quebec 40-49 College/Associate Degree level 3
18-29,Female,Bachelor&under(uni),Yes,Quebec,level 3,Quebec 18-29 Bachelor&under(uni) level 3
30-39,Female,Bachelor&under(uni),Yes,Quebec,level 2,Quebec 30-39 Bachelor&under(uni) level 2
50-59,Female,Bachelor&under(uni),No,Ontario,level 3,Ontario 50-59 Bachelor&under(uni) level 3
40-49,Male,Bachelor&under(uni),Yes,British Columbia,level 2,British Columbia 40-49 Bachelor&under(uni) level 2
50-59,Male,Bachelor&under(uni),No,Ontario,level 2,Ontario 50-59 Bachelor&under(uni) level 2
60-69,Female,AboveBachelor(uni),Yes,Ontario,level 1,Ontario 60-69 AboveBachelor(uni) level 1
50-59,Female,Highschool,Yes,Ontario,level 3,Ontario 50-59 Highschool level 3
70-79,Female,Grade12&under,Yes,Newfoundland and Labrador,level 1,Newfoundland and Labrador 70-79 Grade12&under level 1
40-49,Male,Highschool,Yes,Nova Scotia,level 2,Nova Scotia 40-49 Highschool level 2
50-59,Male,Grade12&under,Yes,Newfoundland and Labrador,level 1,Newfoundland and Labrador 50-59 Grade12&under level 1
80+,Female,AboveBachelor(uni),No,Ontario,level 1,Ontario 80+ AboveBachelor(uni) level 1
50-59,Male,Bachelor&under(uni),Yes,Newfoundland and Labrador,level 2,Newfoundland and Labrador 50-59 Bachelor&under(uni) level 2
30-39,Male,Bachelor&under(uni),No,Ontario,level 1,Ontario 30-39 Bachelor&under(uni) level 1
80+,Male,College/Associate Degree,No,Ontario,level 1,Ontario 80+ College/Associate Degree level 1
70-79,Female,College/Associate Degree,Yes,Manitoba,level 1,Manitoba 70-79 College/Associate Degree level 1
80+,Male,Bachelor&under(uni),Yes,British Columbia,level 1,British Columbia 80+ Bachelor&under(uni) level 1
70-79,Female,College/Associate Degree,Yes,British Columbia,level 1,British Columbia 70-79 College/Associate Degree level 1
50-59,Female,College/Associate Degree,Yes,New Brunswick,level 1,New Brunswick 50-59 College/Associate Degree level 1
