sex,age,education,birth_in_canada,province,income_family,vote_Liberal,cell
Female,60-69,Bachelor&under(uni),Yes,Ontario,level 1,Liberal,Ontario 60-69 Bachelor&under(uni) level 1
Male,18-29,Bachelor&under(uni),No,Quebec,level 2,Liberal,Quebec 18-29 Bachelor&under(uni) level 2
Male,30-39,Highschool,Yes,Quebec,level 1,Others,Quebec 30-39 Highschool level 1
Male,70-79,Bachelor&under(uni),Yes,Ontario,level 1,Liberal,Ontario 70-79 Bachelor&under(uni) level 1
Female,18-29,Highschool,Yes,Ontario,level 1,Others,Ontario 18-29 Highschool level 1
Male,30-39,Grade12&under,No,Ontario,level 2,Others,Ontario 30-39 Grade12&under level 2
Male,60-69,Highschool,Yes,Ontario,level 1,Others,Ontario 60-69 Highschool level 1
Female,50-59,College/Associate Degree,No,Quebec,level 1,Liberal,Quebec 50-59 College/Associate Degree level 1
Male,60-69,Highschool,No,Ontario,level 1,Others,Ontario 60-69 Highschool level 1
Male,30-39,Bachelor&under(uni),Yes,Ontario,level 3,Others,Ontario 30-39 Bachelor&under(uni) level 3
Male,40-49,Highschool,Yes,Quebec,level 2,Others,Quebec 40-49 Highschool level 2
Female,60-69,Bachelor&under(uni),Yes,Newfoundland and Labrador,level 1,Others,Newfoundland and Labrador 60-69 Bachelor&under(uni) level 1
Male,60-69,Bachelor&under(uni),Yes,Quebec,level 3,Liberal,Quebec 60-69 Bachelor&under(uni) level 3
Male,50-59,Highschool,Yes,Ontario,level 2,Others,Ontario 50-59 Highschool level 2
Male,40-49,Bachelor&under(uni),No,Ontario,level 1,Others,Ontario 40-49 Bachelor&under(uni) level 1
Female,18-29,College/Associate Degree,Yes,Ontario,level 1,Liberal,Ontario 18-29 College/Associate Degree level 1
Male,60-69,College/Associate Degree,Yes,Quebec,level 1,Liberal,Quebec 60-69 College/Associate Degree level 1
Female,50-59,Highschool,Yes,Quebec,level 1,Others,Quebec 50-59 Highschool level 1
Female,18-29,College/Associate Degree,Yes,Ontario,level 2,Others,Ontario 18-29 College/Associate Degree level 2
Female,70-79,Highschool,No,Ontario,level 1,Liberal,Ontario 70-79 Highschool level 1
Male,50-59,College/Associate Degree,Yes,Ontario,level 2,Others,Ontario 50-59 College/Associate Degree level 2
Female,40-49,AboveBachelor(uni),Yes,Ontario,level 2,Liberal,Ontario 40-49 AboveBachelor(uni) level 2
Female,70-79,Highschool,Yes,Quebec,level 1,Liberal,Quebec 70-79 Highschool level 1
